id,name,rating,position,height,foot,rare,pace,shooting,passing,dribbling,defending,heading,diving,handling,kicking,reflexes,speed,positioning
100806,Kris Commons,75,M,168,Left,0,79.0,0.74,73.0,80.0,48.0,60.0,,,,,,
100807,Stefanos Kotsolis,65,GK,190,Right,0,,,,,,,62.0,68.0,62.0,65.0,60.0,64.0
100889,Louis Carey,67,D,178,Right,0,45.0,0.31,45.0,38.0,69.0,78.0,,,,,,
100899,Steve Phillips,61,GK,185,Right,1,,,,,,,46.0,65.0,76.0,71.0,31.0,61.0
100907,Danny Coles,62,D,185,Right,0,70.0,0.32,33.0,35.0,66.0,67.0,,,,,,
100932,Sotirios Kyrgiakos,76,D,193,Right,1,41.0,0.42,46.0,38.0,80.0,80.0,,,,,,
100954,Monsef Zerka,63,M,183,Right,0,69.0,0.6,59.0,64.0,53.0,63.0,,,,,,
100964,Romain Poyet,72,A,184,Right,1,68.0,0.7000000000000001,70.0,73.0,56.0,74.0,,,,,,
100987,David Hellebuyck,72,M,178,Left,1,60.0,0.79,74.0,73.0,62.0,69.0,,,,,,
101160,Nicoló Consolini,63,D,180,Right,0,71.0,0.47000000000000003,60.0,57.0,63.0,58.0,,,,,,
101225,Neca,73,M,177,Right,1,64.0,0.7000000000000001,72.0,74.0,57.0,63.0,,,,,,
101282,Oka Nikolov,70,GK,188,Right,0,,,,,,,72.0,64.0,59.0,73.0,61.0,73.0
101286,Rolf-Christel Guié-Mien,64,M,177,Right,1,65.0,0.52,58.0,71.0,45.0,55.0,,,,,,
101317,Michael Ratajczak,65,GK,187,Right,0,,,,,,,62.0,63.0,59.0,69.0,55.0,66.0
10133,Ivan Klasnić,75,A,186,Left,0,60.0,0.75,58.0,72.0,56.0,74.0,,,,,,
101336,Clemens Fritz,74,D,183,Right,1,79.0,0.62,73.0,73.0,72.0,71.0,,,,,,
101344,Otto Fredrikson,70,GK,189,Right,0,,,,,,,69.0,71.0,66.0,70.0,50.0,75.0
101378,Cacau,78,A,179,Right,0,79.0,0.77,62.0,80.0,54.0,77.0,,,,,,
101411,Sascha Kirschstein,66,GK,196,Right,0,,,,,,,67.0,64.0,62.0,70.0,41.0,64.0
101473,Tomasz Kuszczak,75,GK,190,Right,0,,,,,,,78.0,72.0,62.0,81.0,50.0,73.0
101482,Timo Ochs,67,GK,189,Right,0,,,,,,,69.0,66.0,54.0,72.0,49.0,64.0
101488,Daniel Haas,71,GK,188,Right,1,,,,,,,72.0,71.0,66.0,76.0,45.0,68.0
101490,Conor Casey,70,A,188,Right,1,57.0,0.66,38.0,67.0,63.0,86.0,,,,,,
101496,Mathias Abel,69,D,188,Right,0,54.0,0.4,54.0,48.0,73.0,73.0,,,,,,
101590,Giuseppe Greco,65,A,182,Left,0,72.0,0.62,49.0,61.0,55.0,63.0,,,,,,
101652,Peter Schyrba,61,D,185,Right,0,65.0,0.45,52.0,53.0,67.0,65.0,,,,,,
101658,Carsten Rothenbach,68,D,184,Right,0,67.0,0.54,68.0,61.0,70.0,70.0,,,,,,
101689,Antônio da Silva,73,M,178,Left,1,48.0,0.7000000000000001,78.0,75.0,58.0,53.0,,,,,,
101749,Jens Langeneke,69,D,185,Right,0,51.0,0.41000000000000003,51.0,41.0,73.0,60.0,,,,,,
101803,Goran Šukalo,67,M,193,Right,0,56.0,0.6,64.0,59.0,73.0,74.0,,,,,,
10183,David McCracken,60,D,188,Left,0,55.0,0.32,49.0,44.0,65.0,54.0,,,,,,
101868,Andreas Görlitz,67,D,179,Right,0,68.0,0.58,66.0,68.0,67.0,64.0,,,,,,
101875,Markus Miller,71,GK,189,Right,0,,,,,,,74.0,67.0,60.0,74.0,45.0,72.0
101880,Robert Green,78,GK,188,Right,0,,,,,,,81.0,73.0,78.0,84.0,50.0,74.0
101882,Adam Drury,65,D,180,Left,0,53.0,0.35000000000000003,60.0,65.0,69.0,65.0,,,,,,
101891,Darel Russell,63,M,178,Right,0,61.0,0.5,61.0,62.0,64.0,63.0,,,,,,
101934,Dexter Langen,61,M,186,Right,0,69.0,0.53,58.0,62.0,65.0,56.0,,,,,,
101997,David Lucas,61,GK,188,Left,0,,,,,,,57.0,60.0,64.0,66.0,54.0,60.0
101999,Graham Alexander,64,M,180,Right,1,58.0,0.62,65.0,57.0,67.0,68.0,,,,,,
102001,Rob Edwards,65,D,185,Right,0,65.0,0.34,42.0,27.0,70.0,70.0,,,,,,
102021,Filip Trojan,68,M,172,Left,0,74.0,0.61,63.0,71.0,58.0,67.0,,,,,,
102056,Simone Padoin,73,M,179,Right,1,79.0,0.65,73.0,71.0,64.0,61.0,,,,,,
102064,Claudio Terzi,68,D,180,Right,0,60.0,0.46,50.0,47.0,68.0,69.0,,,,,,
102081,Marco Pisano,63,D,174,Left,0,65.0,0.47000000000000003,58.0,53.0,64.0,65.0,,,,,,
102084,Luca Belingheri,67,M,183,Right,0,73.0,0.6,66.0,66.0,62.0,61.0,,,,,,
102088,Stefano Morrone,74,M,178,Right,0,61.0,0.61,71.0,71.0,72.0,60.0,,,,,,
102129,Petri Pasanen,73,D,187,Right,1,57.0,0.58,61.0,45.0,74.0,76.0,,,,,,
102133,Stefan Leitl,68,A,178,Right,0,70.0,0.68,64.0,69.0,57.0,57.0,,,,,,
102293,Ranisav Jovanović,60,A,193,Left,1,69.0,0.59,48.0,56.0,54.0,59.0,,,,,,
102356,Markus Feulner,73,M,181,Right,1,68.0,0.67,74.0,72.0,67.0,69.0,,,,,,
102359,Zvjezdan Misimović,81,M,180,Right,1,62.0,0.78,82.0,80.0,51.0,59.0,,,,,,
102362,Ivica Grlić,64,M,187,Right,1,44.0,0.7000000000000001,69.0,68.0,57.0,45.0,,,,,,
102409,Florian Heller,67,A,179,Right,0,68.0,0.63,69.0,73.0,66.0,69.0,,,,,,
102587,Matt Hill,61,D,173,Left,0,54.0,0.34,49.0,43.0,66.0,61.0,,,,,,
102593,Craig Woodman,62,D,175,Left,0,57.0,0.28,54.0,42.0,61.0,59.0,,,,,,
10264,Ruud van Nistelrooy,80,A,188,Right,0,55.0,0.78,64.0,73.0,59.0,70.0,,,,,,
103133,Seol Ki Hyeon,69,A,187,Right,1,81.0,0.67,64.0,74.0,58.0,69.0,,,,,,
103307,John Oster,67,M,175,Right,0,72.0,0.5700000000000001,68.0,69.0,63.0,60.0,,,,,,
103496,Andrea Cossu,80,M,171,Right,1,80.0,0.6900000000000001,81.0,84.0,50.0,47.0,,,,,,
103578,Marcin Malinowski,57,M,179,Right,0,53.0,0.5700000000000001,43.0,45.0,63.0,58.0,,,,,,
103581,Alan Dunne,63,D,180,Right,0,69.0,0.52,61.0,58.0,66.0,58.0,,,,,,
103582,Mark Phillips,58,D,188,Right,0,56.0,0.33,40.0,43.0,63.0,69.0,,,,,,
103585,Ben May,56,A,185,Left,0,43.0,0.56,40.0,46.0,45.0,64.0,,,,,,
103591,Gerald Sibon,66,A,196,Right,1,28.0,0.7000000000000001,65.0,54.0,59.0,57.0,,,,,,
103735,Nicolas Timmermans,59,D,183,Right,0,66.0,0.49,55.0,55.0,62.0,64.0,,,,,,
103933,Jürgen Säumel,70,M,184,Left,0,73.0,0.59,69.0,65.0,72.0,67.0,,,,,,
103935,Alberto Aquilani,81,M,186,Right,1,65.0,0.75,84.0,81.0,67.0,62.0,,,,,,
103936,Simone Pepe,78,M,178,Right,0,84.0,0.75,76.0,76.0,66.0,64.0,,,,,,
103996,Mahamet Diagouraga,65,D,188,Right,0,71.0,0.43,42.0,35.0,73.0,67.0,,,,,,
1040,Roberto Carlos,79,M,168,Left,1,78.0,0.75,80.0,76.0,80.0,70.0,,,,,,
104047,Sergio Bernardo Almirón,75,M,176,Right,0,50.0,0.71,79.0,66.0,68.0,56.0,,,,,,
104088,Philipp Bönig,67,D,178,Left,0,68.0,0.48,64.0,57.0,68.0,68.0,,,,,,
1041,Javier Zanetti,82,M,178,Right,1,63.0,0.59,80.0,79.0,80.0,57.0,,,,,,
104100,Marius Ebbers,68,A,192,Right,0,59.0,0.65,53.0,62.0,61.0,74.0,,,,,,
104101,Benjamin Köhler,71,M,172,Left,0,76.0,0.65,67.0,74.0,53.0,75.0,,,,,,
104296,Liam Miller,66,M,170,Right,0,59.0,0.6,67.0,69.0,55.0,59.0,,,,,,
104389,Rune Almenning Jarstein,68,GK,190,Right,0,,,,,,,74.0,62.0,75.0,77.0,40.0,62.0
104442,Chris Burke,73,M,175,Right,1,80.0,0.68,70.0,76.0,53.0,52.0,,,,,,
104472,Trond Erik Bertelsen,64,D,174,Left,1,75.0,0.5700000000000001,62.0,60.0,66.0,65.0,,,,,,
104476,Christian Grindheim,73,M,179,Right,0,70.0,0.6900000000000001,71.0,68.0,68.0,68.0,,,,,,
1046,Jérôme Rothen,72,M,177,Left,1,58.0,0.7000000000000001,75.0,71.0,54.0,44.0,,,,,,
10468,Benjamin Kibebe,61,D,187,Right,0,57.0,0.43,47.0,46.0,68.0,72.0,,,,,,
104702,Daniel Braaten,73,M,184,Right,1,80.0,0.7000000000000001,69.0,80.0,66.0,62.0,,,,,,
104732,David Prutton,64,M,185,Right,1,55.0,0.65,65.0,53.0,63.0,60.0,,,,,,
104733,Jack Lester,64,A,175,Right,0,56.0,0.62,36.0,58.0,50.0,71.0,,,,,,
104737,Barry Roche,62,GK,193,Right,0,,,,,,,61.0,64.0,57.0,65.0,60.0,60.0
10475,Frédéric Page,57,D,185,Right,0,50.0,0.49,54.0,51.0,60.0,57.0,,,,,,
105113,Sven Müller,63,M,191,Right,0,72.0,0.6,62.0,56.0,67.0,63.0,,,,,,
105308,Jean Francois Gillet,77,GK,181,Left,0,,,,,,,75.0,73.0,74.0,80.0,60.0,76.0
105314,Lionel Pizzinat,55,M,183,Right,0,49.0,0.55,52.0,58.0,55.0,54.0,,,,,,
105318,Jaime Valdés,76,M,176,Right,0,76.0,0.75,73.0,77.0,54.0,46.0,,,,,,
105327,Richarlyson,74,M,176,Left,0,77.0,0.6900000000000001,68.0,75.0,71.0,65.0,,,,,,
105330,Gaetano D'Agostino,75,M,182,Left,0,67.0,0.71,79.0,70.0,68.0,57.0,,,,,,
105338,Moris Carrozzieri,72,D,192,Right,1,33.0,0.41000000000000003,49.0,26.0,81.0,65.0,,,,,,
105342,Patrick Owomoyela,73,D,187,Right,1,63.0,0.55,72.0,71.0,75.0,83.0,,,,,,
10535,Xavi,92,M,170,Right,1,67.0,0.72,92.0,85.0,68.0,53.0,,,,,,
105430,Grétar Steinsson,75,D,189,Right,0,55.0,0.52,74.0,60.0,77.0,73.0,,,,,,
105454,Zoran Tošić,77,M,171,Left,1,91.0,0.75,72.0,85.0,40.0,57.0,,,,,,
105466,Daniele Martinelli,63,D,181,Right,0,61.0,0.46,58.0,52.0,63.0,62.0,,,,,,
105471,François-Joseph Modesto,70,M,183,Right,0,63.0,0.5,63.0,60.0,75.0,70.0,,,,,,
105474,Daniele Conti,76,M,178,Right,0,53.0,0.71,80.0,71.0,72.0,64.0,,,,,,
105477,David Suazo,76,A,182,Right,1,91.0,0.76,56.0,65.0,58.0,71.0,,,,,,
105530,Aleksandar Vuković,65,M,186,Right,0,49.0,0.56,64.0,54.0,69.0,59.0,,,,,,
105533,Łukasz Załuska,69,GK,191,Right,0,,,,,,,67.0,68.0,66.0,72.0,45.0,68.0
105558,Alexander Iashvili,68,A,175,Left,0,75.0,0.66,64.0,75.0,42.0,54.0,,,,,,
105663,Dennis Kruppke,66,M,179,Right,0,71.0,0.67,60.0,63.0,59.0,70.0,,,,,,
105748,Lars Jungnickel,65,D,180,Right,0,74.0,0.5,57.0,51.0,66.0,71.0,,,,,,
105803,Gurpegi,75,M,181,Right,0,65.0,0.54,67.0,62.0,79.0,82.0,,,,,,
10584,Luciano Zauri,72,D,178,Right,0,54.0,0.58,70.0,67.0,74.0,66.0,,,,,,
105846,Artur Boruc,78,GK,193,Right,0,,,,,,,77.0,77.0,69.0,79.0,41.0,77.0
105865,Tomasz Kiełbowicz,64,D,179,Left,1,63.0,0.52,72.0,53.0,64.0,52.0,,,,,,
105866,Cesare Bovo,78,D,181,Right,0,65.0,0.61,64.0,54.0,78.0,77.0,,,,,,
105945,Karel Geraerts,67,M,186,Right,0,60.0,0.65,65.0,55.0,71.0,69.0,,,,,,
106019,Adriano,77,A,190,Left,0,62.0,0.8,52.0,71.0,59.0,67.0,,,,,,
106036,Dennis Eilhoff,69,GK,190,Right,0,,,,,,,74.0,66.0,63.0,75.0,49.0,64.0
106112,Julien François,66,M,192,Left,0,51.0,0.52,64.0,55.0,68.0,67.0,,,,,,
106134,Andrew Frampton,63,D,185,Left,1,50.0,0.43,66.0,50.0,67.0,68.0,,,,,,
106202,Marek Saganowski,63,A,178,Right,1,67.0,0.63,41.0,60.0,61.0,69.0,,,,,,
106213,Iraola,79,D,182,Right,0,82.0,0.6900000000000001,78.0,75.0,79.0,63.0,,,,,,
106222,Arriaga,59,A,171,Right,0,69.0,0.58,50.0,63.0,40.0,51.0,,,,,,
106231,Aduriz,79,A,182,Right,1,72.0,0.75,62.0,75.0,60.0,91.0,,,,,,
106436,Łukasz Surma,60,M,173,Right,0,59.0,0.46,58.0,56.0,63.0,62.0,,,,,,
106510,Dickson Choto,68,D,192,Right,1,54.0,0.32,54.0,45.0,77.0,56.0,,,,,,
106539,Gabri,68,M,175,Right,0,66.0,0.6,68.0,66.0,67.0,67.0,,,,,,
106560,Grégory Pujol,77,A,183,Right,0,62.0,0.76,70.0,74.0,63.0,81.0,,,,,,
106573,Valdés,85,GK,183,Right,1,,,,,,,83.0,81.0,78.0,84.0,60.0,91.0
106582,Dani Tortolero,63,D,184,Right,0,52.0,0.48,53.0,49.0,66.0,63.0,,,,,,
106710,Giacomo Tedesco,67,M,176,Left,0,59.0,0.63,72.0,66.0,65.0,57.0,,,,,,
106795,Gianluca Pegolo,62,GK,183,Left,1,,,,,,,57.0,68.0,58.0,66.0,47.0,60.0
106850,Mirko Vučinić,81,A,186,Right,1,82.0,0.8,70.0,84.0,60.0,71.0,,,,,,
106868,Alberto Comazzi,61,D,178,Right,0,52.0,0.37,58.0,39.0,63.0,73.0,,,,,,
106874,Davide Brivio,70,D,185,Left,0,66.0,0.5,67.0,61.0,74.0,62.0,,,,,,
107078,Max von Schlebrügge,70,D,188,Left,0,54.0,0.56,50.0,43.0,70.0,67.0,,,,,,
107084,Michael Langer,65,GK,193,Right,0,,,,,,,64.0,65.0,58.0,69.0,51.0,65.0
107103,Marc Ziegler,72,GK,193,Right,1,,,,,,,73.0,69.0,73.0,70.0,27.0,74.0
107263,Fahid Ben Khalfallah,71,M,170,Right,0,76.0,0.62,69.0,74.0,49.0,50.0,,,,,,
107280,Benjamin Genton,66,D,188,Right,0,41.0,0.32,60.0,39.0,68.0,72.0,,,,,,
107298,Yohann Pelé,75,GK,196,Right,0,,,,,,,76.0,73.0,70.0,83.0,51.0,71.0
107305,Mickaël Tacalfred,64,D,175,Right,0,64.0,0.55,63.0,60.0,66.0,68.0,,,,,,
107320,Johan Audel,73,M,180,Left,1,76.0,0.67,68.0,76.0,55.0,61.0,,,,,,
107494,Andrea Campagnolo,71,GK,184,Right,1,,,,,,,70.0,70.0,65.0,72.0,51.0,74.0
1075,Alessandro Del Piero,80,A,173,Right,1,56.0,0.79,82.0,84.0,50.0,43.0,,,,,,
107528,John Mensah,76,D,180,Right,0,61.0,0.43,56.0,29.0,78.0,77.0,,,,,,
107579,Federico Agliardi,66,GK,190,Right,0,,,,,,,65.0,63.0,55.0,70.0,50.0,67.0
107634,René Renno,60,GK,186,Right,0,,,,,,,66.0,60.0,63.0,51.0,30.0,64.0
10764,Juanfran,71,D,182,Left,0,70.0,0.52,67.0,63.0,75.0,64.0,,,,,,
107647,Hamit Altintop,76,M,183,Right,0,74.0,0.78,77.0,74.0,73.0,67.0,,,,,,
107713,Tom Starke,76,GK,195,Right,0,,,,,,,78.0,77.0,68.0,78.0,52.0,74.0
107715,Lúcio,85,D,188,Right,1,76.0,0.61,61.0,66.0,85.0,83.0,,,,,,
107758,Markus Thorandt,68,D,187,Right,0,67.0,0.44,59.0,49.0,70.0,71.0,,,,,,
107794,Markus Bollmann,64,D,190,Right,0,54.0,0.3,44.0,41.0,68.0,73.0,,,,,,
107796,Markus Krösche,65,M,180,Right,0,61.0,0.49,48.0,46.0,70.0,73.0,,,,,,
10780,César Navas,75,D,194,Right,1,67.0,0.42,57.0,43.0,77.0,74.0,,,,,,
107901,Collin Benjamin,68,M,182,Right,0,68.0,0.61,71.0,70.0,68.0,66.0,,,,,,
107904,Deniz Dogan,66,D,182,Left,0,66.0,0.52,41.0,39.0,69.0,72.0,,,,,,
108061,Reto Ziegler,78,D,183,Left,0,76.0,0.7000000000000001,76.0,75.0,73.0,69.0,,,,,,
108075,Eduardo,69,A,178,Right,0,76.0,0.68,63.0,71.0,45.0,66.0,,,,,,
108080,Stephan Lichtsteiner,79,D,183,Right,0,79.0,0.58,74.0,71.0,79.0,73.0,,,,,,
10824,Patrick Mtiliga,69,D,171,Left,1,86.0,0.58,57.0,64.0,67.0,65.0,,,,,,
108583,Kris De Wree,64,D,185,Right,0,63.0,0.53,58.0,55.0,64.0,64.0,,,,,,
10862,Delron Buckley,65,M,177,Left,0,75.0,0.64,57.0,68.0,48.0,56.0,,,,,,
10863,Enzo Maresca,73,M,180,Right,1,53.0,0.75,80.0,72.0,63.0,49.0,,,,,,
108658,Marco Streller,74,A,195,Left,1,64.0,0.64,58.0,73.0,61.0,73.0,,,,,,
108734,Frankie Hejduk,62,D,173,Right,0,70.0,0.53,51.0,55.0,63.0,64.0,,,,,,
108750,David Degen,68,M,185,Right,1,82.0,0.6,63.0,69.0,59.0,56.0,,,,,,
108784,Wim De Decker,64,M,186,Right,0,43.0,0.52,56.0,50.0,68.0,69.0,,,,,,
1088,Alessandro Nesta,85,D,187,Right,1,54.0,0.36,58.0,57.0,83.0,78.0,,,,,,
10884,Michael Flynn,60,M,178,Right,0,57.0,0.58,55.0,56.0,67.0,65.0,,,,,,
10899,Chris Porter,65,A,185,Right,0,66.0,0.62,52.0,59.0,54.0,71.0,,,,,,
1092,Alan Murphy,56,A,174,Left,0,59.0,0.5700000000000001,54.0,57.0,41.0,53.0,,,,,,
109321,Christian Weber,64,D,175,Right,0,70.0,0.51,60.0,61.0,65.0,66.0,,,,,,
109416,Alexandr Kerzhakov,82,A,176,Right,1,87.0,0.8200000000000001,74.0,75.0,55.0,75.0,,,,,,
109493,Bram Castro,65,GK,191,Right,0,,,,,,,65.0,65.0,67.0,66.0,54.0,64.0
10959,Pablo Aimar,83,M,170,Right,1,75.0,0.73,83.0,86.0,49.0,62.0,,,,,,
109693,Yakubu,73,A,183,Right,1,67.0,0.74,57.0,72.0,57.0,75.0,,,,,,
109724,Peter Løvenkrands,71,A,180,Left,1,69.0,0.7000000000000001,75.0,74.0,54.0,66.0,,,,,,
109809,Youssef El-Akchaoui,66,D,174,Left,0,65.0,0.66,68.0,64.0,66.0,65.0,,,,,,
109852,Gareth McAuley,69,D,191,Right,0,55.0,0.38,52.0,36.0,73.0,75.0,,,,,,
1099,Marco Di Vaio,81,A,179,Right,0,79.0,0.78,65.0,77.0,58.0,73.0,,,,,,
109910,Mark Wilson,73,D,178,Right,0,72.0,0.36,67.0,66.0,71.0,74.0,,,,,,
109969,Juan Pablo,73,GK,187,Right,1,,,,,,,77.0,72.0,69.0,79.0,55.0,68.0
109973,Ochoa,62,D,191,Left,0,43.0,0.41000000000000003,49.0,41.0,65.0,60.0,,,,,,
11,Romain Rocchi,67,M,183,Right,0,61.0,0.67,65.0,70.0,61.0,65.0,,,,,,
110019,Dorado,73,D,180,Left,0,59.0,0.33,55.0,45.0,72.0,72.0,,,,,,
110020,Pelegrín,70,D,184,Left,0,53.0,0.39,50.0,49.0,73.0,70.0,,,,,,
110023,Generelo,67,M,183,Right,0,57.0,0.67,71.0,57.0,67.0,52.0,,,,,,
110026,Cani,79,M,180,Right,0,81.0,0.74,76.0,81.0,57.0,59.0,,,,,,
110082,Pinto,72,GK,185,Right,1,,,,,,,78.0,75.0,78.0,69.0,43.0,68.0
110108,Luciano,62,D,184,Right,0,45.0,0.43,56.0,53.0,65.0,61.0,,,,,,
110117,Borja Oubiña,64,M,181,Right,1,57.0,0.56,67.0,67.0,52.0,49.0,,,,,,
110146,Dani Mallo,62,GK,186,Right,0,,,,,,,66.0,60.0,55.0,64.0,41.0,57.0
1102,Carlo Cudicini,76,GK,185,Right,0,,,,,,,74.0,79.0,69.0,77.0,42.0,76.0
110272,Josemi,68,D,182,Right,0,73.0,0.49,66.0,57.0,72.0,64.0,,,,,,
110283,Duda,76,M,175,Left,1,68.0,0.77,84.0,74.0,61.0,60.0,,,,,,
110291,Manolo,68,D,173,Right,0,75.0,0.5,65.0,59.0,73.0,66.0,,,,,,
110297,Nacho,69,D,175,Left,0,73.0,0.55,69.0,68.0,70.0,60.0,,,,,,
110301,Juanma,67,M,176,Right,0,69.0,0.6,66.0,67.0,56.0,52.0,,,,,,
11031,Sylvain Wiltord,70,A,174,Right,0,72.0,0.68,67.0,70.0,51.0,67.0,,,,,,
110363,Carlos García,69,D,184,Right,0,46.0,0.32,52.0,47.0,73.0,63.0,,,,,,
110368,Edu Albácar,68,D,177,Left,0,74.0,0.65,68.0,65.0,67.0,63.0,,,,,,
110371,Moises Hurtado,72,M,185,Right,1,43.0,0.5,62.0,52.0,77.0,63.0,,,,,,
110375,Crusat,74,A,162,Left,1,93.0,0.62,56.0,77.0,46.0,53.0,,,,,,
110376,Jonathan Soriano,74,A,180,Right,1,74.0,0.72,59.0,70.0,52.0,74.0,,,,,,
110377,Corominas,68,A,171,Right,0,78.0,0.62,54.0,75.0,50.0,62.0,,,,,,
110379,Tariq,65,A,183,Right,0,41.0,0.64,40.0,50.0,54.0,80.0,,,,,,
110381,Maximiliano Rodríguez,78,A,180,Right,0,70.0,0.76,76.0,80.0,60.0,63.0,,,,,,
110389,Carmelo,70,M,180,Right,0,68.0,0.59,67.0,77.0,52.0,54.0,,,,,,
110402,Sergio,71,D,191,Right,1,36.0,0.44,55.0,50.0,76.0,69.0,,,,,,
11044,Traianos Dellas,72,D,196,Right,1,33.0,0.49,59.0,38.0,77.0,69.0,,,,,,
110525,Dele Adebola,64,A,191,Left,1,34.0,0.65,50.0,62.0,58.0,75.0,,,,,,
11056,Grégory Proment,69,M,176,Right,0,53.0,0.63,72.0,53.0,68.0,58.0,,,,,,
11061,Paolo Orlandoni,70,GK,186,Right,0,,,,,,,72.0,68.0,64.0,68.0,51.0,75.0
110627,Jofre,67,M,171,Left,0,71.0,0.5700000000000001,60.0,73.0,43.0,54.0,,,,,,
110638,Alberto,64,GK,190,Right,1,,,,,,,57.0,68.0,60.0,61.0,47.0,75.0
110652,Riera,77,A,188,Left,0,77.0,0.74,75.0,79.0,58.0,65.0,,,,,,
110657,Güiza,74,A,180,Right,1,73.0,0.74,56.0,68.0,50.0,63.0,,,,,,
110677,Moyá,75,GK,185,Right,0,,,,,,,80.0,69.0,82.0,79.0,48.0,72.0
110691,Kike Mateo,66,M,176,Right,0,63.0,0.63,60.0,64.0,62.0,68.0,,,,,,
110774,Rubén,74,D,187,Right,0,55.0,0.38,62.0,44.0,75.0,73.0,,,,,,
110787,Borja,70,M,188,Right,0,51.0,0.66,73.0,54.0,74.0,65.0,,,,,,
110810,Gaspar,65,D,182,Right,0,49.0,0.44,54.0,45.0,69.0,59.0,,,,,,
110811,Mario,74,D,178,Left,1,66.0,0.46,52.0,48.0,74.0,81.0,,,,,,
110842,Óscar,71,M,176,Right,1,69.0,0.72,71.0,68.0,51.0,62.0,,,,,,
110852,De Lucas,73,M,175,Right,1,72.0,0.72,77.0,71.0,50.0,55.0,,,,,,
110854,Aganzo,72,A,177,Left,1,67.0,0.66,46.0,69.0,49.0,84.0,,,,,,
110879,Kevin Kyle,69,A,191,Right,0,68.0,0.67,55.0,61.0,68.0,71.0,,,,,,
110880,Simon Ramsden,61,D,183,Right,0,65.0,0.42,49.0,55.0,66.0,66.0,,,,,,
110907,Stefan Buck,64,D,189,Left,1,61.0,0.48,52.0,56.0,68.0,75.0,,,,,,
110920,Alexander Schnetzler,61,D,173,Left,0,68.0,0.46,58.0,63.0,57.0,58.0,,,,,,
110961,Aranburu,74,M,180,Left,0,55.0,0.67,65.0,59.0,75.0,64.0,,,,,,
11097,Christian Timm,63,M,180,Right,1,78.0,0.59,54.0,68.0,47.0,60.0,,,,,,
110974,Riesgo,73,GK,185,Right,1,,,,,,,77.0,72.0,61.0,72.0,59.0,76.0
110979,Labaka,70,D,185,Right,0,53.0,0.5,55.0,51.0,73.0,73.0,,,,,,
